,time,open,high,low,close,tick_volume,spread,real_volume,EMA34,EMA55,EMA84,converged,signal,signal_price
70,2022-10-03 20:00:00,3679.28,3690.51,3673.53,3689.73,2093,74,0,3666.715210164396,3697.6688051164933,3731.3674710424425,True,,
71,2022-10-04 00:00:00,3689.96,3709.28,3687.53,3708.77,6257,81,0,3669.118341012145,3698.065276362333,3730.835765841444,True,,
72,2022-10-04 04:00:00,3708.84,3733.2,3705.2,3731.32,8012,81,0,3672.6727215257365,3699.252945063678,3730.847159586351,True,,
73,2022-10-04 08:00:00,3731.48,3748.38,3722.01,3740.42,9922,71,0,3676.5439945814087,3700.72319702569,3731.0724028902014,True,,
74,2022-10-04 12:00:00,3740.35,3790.73,3730.55,3784.46,11617,73,0,3682.7106234624707,3703.7137971319153,3732.328581645726,True,,
75,2022-10-04 16:00:00,3784.71,3792.66,3754.89,3787.98,11302,74,0,3688.7260164074723,3706.723304377204,3733.6380267834734,True,,
76,2022-10-04 20:00:00,3785.6,3786.09,3781.26,3784.44,1173,76,0,3694.1953868984738,3709.498900649447,3734.8333673297448,True,,
77,2022-10-05 00:00:00,3784.19,3784.19,3768.31,3774.5,5840,83,0,3698.784221932847,3711.8203684833957,3735.7666998631626,True,,
78,2022-10-05 04:00:00,3774.44,3777.17,3764.87,3765.86,5708,81,0,3702.617123536684,3713.7503553232746,3736.474777513441,True,,
79,2022-10-05 08:00:00,3766.04,3768.63,3751.7,3758.39,9122,72,0,3705.8041450488736,3715.3446283474436,3736.990429807242,True,,
80,2022-10-05 12:00:00,3758.22,3765.34,3723.2,3743.67,13185,75,0,3707.967908188938,3716.3562487636063,3737.1475961647184,True,,
81,2022-10-05 16:00:00,3744.0,3808.11,3735.72,3780.85,10835,76,0,3712.13259914957,3718.659597022049,3738.175888019666,True,,
82,2022-10-05 20:00:00,3783.34,3799.77,3781.7,3798.99,1524,82,0,3717.0958791981657,3721.5285399855475,3739.606808301556,True,,
83,2022-10-06 00:00:00,3799.12,3806.89,3792.47,3799.95,6629,82,0,3721.8304003868416,3724.329306414635,3741.0266481062254,True,,
84,2022-10-06 04:00:00,3800.03,3805.37,3774.43,3781.7,7422,83,0,3725.2515203647363,3726.37825975697,3741.9836681507845,True,,
85,2022-10-06 08:00:00,3781.63,3786.15,3751.5,3763.23,9490,70,0,3727.421719201037,3727.694393337078,3742.4835818413544,True,,
86,2022-10-06 12:00:00,3762.99,3799.1,3745.92,3758.81,15006,75,0,3729.215335246692,3728.805665003611,3742.8677328568515,True,,
87,2022-10-06 16:00:00,3758.56,3775.0,3738.49,3742.44,11968,75,0,3729.9710303754528,3729.2926055391968,3742.8576685543376,True,,
88,2022-10-06 20:00:00,3736.8,3741.36,3731.87,3733.8,1558,75,0,3730.1898286397127,3729.453583912797,3742.6445469412943,True,,
89,2022-10-07 00:00:00,3733.44,3749.61,3733.13,3739.9,5744,83,0,3730.744695574586,3729.826670201626,3742.5799693662048,True,,
90,2022-10-07 04:00:00,3740.07,3741.64,3720.5,3733.62,7465,83,0,3730.9089986846093,3729.962146265854,3742.369146557588,True,,
91,2022-10-07 08:00:00,3733.36,3748.41,3728.78,3743.49,7749,70,0,3731.6279130454886,3730.445283899216,3742.3955195797625,True,,
92,2022-10-07 12:00:00,3743.59,3752.45,3658.65,3663.82,16885,75,0,3727.753175157175,3728.065809474244,3740.5466838249445,True,,
93,2022-10-07 16:00:00,3663.65,3669.08,3620.64,3642.83,11156,74,0,3722.9004222910507,3725.0216734215924,3738.2474677349455,True,,
94,2022-10-09 20:00:00,3615.62,3625.98,3607.08,3622.57,2844,81,0,3717.1672553029907,3721.362685085107,3735.525644964712,True,,
95,2022-10-10 00:00:00,3622.75,3634.21,3615.32,3625.48,6433,82,0,3711.9279835713915,3717.938303474925,3732.9363356714243,True,,
96,2022-10-10 04:00:00,3625.27,3637.8,3615.85,3626.58,7283,84,0,3707.0509559387406,3714.675506922249,3730.4338336556257,True,,
97,2022-10-10 08:00:00,3626.49,3639.39,3612.82,3634.88,8310,70,0,3702.9269013136695,3711.8256673893115,3728.185508157846,True,,
98,2022-10-10 12:00:00,3635.07,3656.1,3605.26,3619.99,13458,73,0,3698.1876498100314,3708.5458221254075,3725.6397314953083,True,,
99,2022-10-10 16:00:00,3619.75,3635.88,3589.25,3614.24,11705,76,0,3693.390641249458,3705.1777570495,3723.0185613424774,True,,
100,2022-10-10 20:00:00,3618.63,3625.33,3616.52,3621.61,1369,72,0,3689.2888903209173,3702.193194297732,3720.6324775461835,True,,
101,2022-10-11 00:00:00,3621.15,3624.97,3593.57,3596.14,8479,82,0,3683.9660965882936,3698.40558021567,3717.703242780391,True,,
102,2022-10-11 04:00:00,3596.11,3604.8,3574.46,3587.43,9267,82,0,3678.4497482118195,3694.442166636539,3714.637990009088,True,,
103,2022-10-11 08:00:00,3587.29,3600.84,3574.08,3600.47,11848,71,0,3673.9937625997154,3691.0860178280914,3711.9516843618153,True,,
104,2022-10-11 12:00:00,3600.27,3627.41,3570.0,3619.92,15301,73,0,3670.903833308303,3688.544374334231,3709.786232965067,True,,
105,2022-10-11 16:00:00,3620.18,3643.22,3569.41,3589.36,14396,75,0,3666.2441856906858,3685.0020752508663,3706.952674542359,True,,
106,2022-10-11 20:00:00,3594.08,3597.06,3590.59,3594.9,1332,74,0,3662.1673750797895,3681.7841439919066,3704.3161410237153,True,,
107,2022-10-12 00:00:00,3594.5,3605.99,3586.55,3595.26,7772,79,0,3658.3440965038017,3678.6939959921956,3701.7501141760986,True,,
108,2022-10-12 04:00:00,3595.34,3625.1,3593.76,3601.94,10645,82,0,3655.121005275013,3675.952781849617,3699.4016409013666,True,,
109,2022-10-12 08:00:00,3602.24,3624.73,3600.31,3611.74,11041,68,0,3652.6420906878693,3673.659468212131,3697.3390140566285,True,,
110,2022-10-12 12:00:00,3612.0,3622.47,3575.73,3604.5,16514,75,0,3649.891114077134,3671.1894872045546,3695.154566667061,True,,
111,2022-10-12 16:00:00,3604.68,3610.43,3580.0,3580.24,13507,75,0,3645.9110504155833,3667.941291232963,3692.450694510189,True,,
112,2022-10-12 20:00:00,3585.24,3589.47,3583.23,3588.07,870,74,0,3642.6058475346927,3665.0887451175,3689.9946781687727,True,,
113,2022-10-13 00:00:00,3587.42,3592.25,3580.02,3583.53,4745,77,0,3639.2300848184245,3662.1759327918753,3687.4896269177425,True,,
114,2022-10-13 04:00:00,3583.62,3587.73,3571.72,3584.26,6343,77,0,3636.088937114515,3659.3932209064515,3685.060694519678,True,,
115,2022-10-13 08:00:00,3584.41,3621.85,3580.31,3612.88,8611,69,0,3634.7627121365426,3657.7320344455065,3683.362325236862,True,,
116,2022-10-13 12:00:00,3613.03,3665.14,3492.17,3639.99,23695,74,0,3635.0614143001685,3657.0983903581673,3682.3417999371713,True,,
117,2022-10-13 16:00:00,3640.26,3687.69,3621.6,3674.3,14747,78,0,3637.3036191973015,3657.7127335596615,3682.15258111512,True,,
118,2022-10-13 20:00:00,3669.96,3675.64,3669.76,3670.14,1744,74,0,3639.1799838145985,3658.1565645039595,3681.869932147705,True,,
119,2022-10-14 00:00:00,3669.45,3704.96,3660.52,3700.03,7469,83,0,3642.657127596621,3659.652044343104,3682.2972278618768,True,,
120,2022-10-14 04:00:00,3700.23,3703.48,3672.06,3681.27,9007,84,0,3644.8635774482427,3660.4241141879934,3682.273057794538,True,,
121,2022-10-14 08:00:00,3681.32,3692.57,3650.58,3663.61,12079,73,0,3645.9348015940573,3660.5378958241363,3681.8339270229017,True,,
122,2022-10-14 12:00:00,3663.82,3723.85,3604.74,3608.61,21258,76,0,3643.8019557886823,3658.6833281161316,3680.111011092951,True,,
123,2022-10-14 16:00:00,3608.04,3621.86,3582.09,3582.78,14817,74,0,3640.314986886472,3655.972494969127,3677.8208696554693,True,,
124,2022-10-16 20:00:00,3599.28,3607.43,3595.74,3606.2,2122,74,0,3638.365559064388,3654.1949058630867,3676.1356727223997,True,,
125,2022-10-17 00:00:00,3605.71,3607.43,3597.18,3603.62,6957,80,0,3636.380098546423,3652.388659225119,3674.4294215995196,True,,
126,2022-10-17 04:00:00,3603.45,3630.91,3601.2,3626.28,7956,81,0,3635.802950058056,3651.4562071099363,3673.296494032472,True,,
127,2022-10-17 08:00:00,3626.27,3638.94,3614.75,3632.45,9383,70,0,3635.611352911881,3650.777413998867,3672.335400055237,True,,
128,2022-10-17 12:00:00,3632.27,3693.3,3625.35,3682.42,12696,72,0,3638.286132745488,3651.9075063560504,3672.57268475982,True,,
129,2022-10-17 16:00:00,3682.59,3692.58,3672.63,3677.38,8516,78,0,3640.5200680171743,3652.817238271906,3672.6857980595887,True,,
130,2022-10-17 20:00:00,3704.95,3713.65,3701.66,3711.06,1300,81,0,3644.550921273336,3654.8973369050523,3673.5887204581863,True,,
131,2022-10-18 00:00:00,3710.8,3738.39,3702.06,3733.48,5454,81,0,3649.6325829148595,3657.703860587015,3674.9979270356407,True,,
132,2022-10-18 04:00:00,3733.56,3755.56,3724.79,3744.18,8383,84,0,3655.0352924625818,3660.7922941374786,3676.625740517155,True,,
133,2022-10-18 08:00:00,3743.96,3752.53,3714.87,3748.73,10985,72,0,3660.389275750434,3663.9329264897115,3678.3223113285158,True,,
134,2022-10-18 12:00:00,3748.98,3768.2,3688.58,3705.34,13350,78,0,3662.9578885646947,3665.41175054365,3678.9580216501977,True,,
135,2022-10-18 16:00:00,3705.09,3737.01,3694.56,3716.25,12768,79,0,3666.003152075283,3667.2274023099485,3679.8354799643107,True,,
136,2022-10-18 20:00:00,3745.86,3764.43,3745.86,3754.81,1930,79,0,3671.0778290995527,3670.3553522274506,3681.5995863180915,True,,
137,2022-10-19 00:00:00,3754.53,3765.42,3748.68,3753.25,6537,84,0,3675.7733817224353,3673.315875362184,3683.285478404725,True,,
138,2022-10-19 04:00:00,3753.06,3754.55,3718.77,3733.96,7914,83,0,3679.098331338296,3675.481736956392,3684.4778200893193,True,,
139,2022-10-19 08:00:00,3733.86,3744.35,3702.56,3712.53,11474,71,0,3681.008712404679,3676.8048892079496,3685.1378713813356,True,,
140,2022-10-19 12:00:00,3712.26,3731.96,3692.26,3710.56,14904,78,0,3682.697357410126,3678.0104288790944,3685.7360391135394,True,,
141,2022-10-19 16:00:00,3710.31,3711.47,3668.53,3697.09,10223,79,0,3683.5197941295473,3678.6918421334126,3686.003191134397,True,,
142,2022-10-19 20:00:00,3699.98,3701.29,3683.87,3688.03,1579,87,0,3683.7775201792874,3679.025347771505,3686.050880754764,True,,
143,2022-10-20 00:00:00,3688.26,3694.59,3669.13,3674.51,7506,82,0,3683.247947597614,3678.864085351094,3685.779330619358,True,,
144,2022-10-20 04:00:00,3674.63,3708.71,3671.31,3675.2,10422,82,0,3682.78806487775,3678.7332251599837,3685.53040519302,True,,
145,2022-10-20 08:00:00,3675.55,3715.33,3672.67,3706.14,10644,70,0,3684.1224611704497,3679.712038547127,3686.0153368355373,True,,
146,2022-10-20 12:00:00,3705.39,3738.52,3681.34,3714.15,14434,73,0,3685.838320532138,3680.9419657418725,3686.677328909995,True,,
147,2022-10-20 16:00:00,3714.33,3715.57,3657.39,3667.87,10570,78,0,3684.8115593588727,3680.47510982252,3686.2348035238774,True,,
148,2022-10-20 20:00:00,3659.51,3659.54,3647.86,3653.11,1551,88,0,3683.0000416812227,3679.497784471716,3685.455396382139,True,,
149,2022-10-21 00:00:00,3653.42,3667.11,3646.91,3656.63,6216,82,0,3681.493182156581,3678.68107788344,3684.777151761383,True,,
150,2022-10-21 04:00:00,3656.52,3670.6,3650.35,3653.13,7306,82,0,3679.872428890491,3677.768539387603,3684.032512896409,True,,
151,2022-10-21 08:00:00,3653.01,3656.3,3638.82,3644.87,9996,69,0,3677.8722900967487,3676.5935915523314,3683.111042004729,True,,
152,2022-10-21 12:00:00,3644.93,3718.01,3633.47,3712.14,21384,74,0,3679.830444948363,3677.863106139748,3683.7940763105,True,,
153,2022-10-21 16:00:00,3712.39,3760.3,3704.22,3753.42,10404,77,0,3684.035562379885,3680.561566634757,3685.432333338488,True,,
154,2022-10-23 20:00:00,3790.81,3793.35,3778.68,3778.72,3313,86,0,3689.4461016724626,3684.06722496923,3687.6273372599353,True,,
