time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-07-28 16:00:00,4590.9,4591.05,4583.15,4584.69,746,106,0,746
2023-07-28 17:00:00,4584.41,4584.41,4564.67,4576.59,1079,106,0,1079
2023-07-28 18:00:00,4576.59,4587.64,4575.91,4584.33,1014,107,0,1014
2023-07-28 19:00:00,4584.78,4587.32,4577.74,4582.66,1065,107,0,1065
2023-07-30 22:00:00,4587.83,4595.38,4587.38,4592.93,632,106,0,632
2023-07-30 23:00:00,4592.93,4593.79,4589.47,4589.61,653,97,0,653
2023-07-31 00:00:00,4589.55,4589.97,4585.78,4586.5,726,94,0,726
2023-07-31 01:00:00,4586.46,4588.93,4579.42,4579.97,1068,94,0,1068
2023-07-31 02:00:00,4579.83,4582.2,4576.22,4578.53,979,96,0,979
2023-07-31 03:00:00,4578.52,4578.74,4574.5,4575.76,821,97,0,821
2023-07-31 04:00:00,4575.76,4577.03,4573.27,4576.27,609,96,0,609
2023-07-31 05:00:00,4575.91,4581.05,4574.53,4579.8,745,96,0,745
2023-07-31 06:00:00,4579.87,4585.3,4578.3,4581.04,924,97,0,924
2023-07-31 07:00:00,4581.01,4586.95,4578.88,4581.62,869,101,0,869
2023-07-31 08:00:00,4581.79,4588.79,4581.79,4588.53,482,102,0,482
2023-07-31 09:00:00,4588.37,4590.03,4584.88,4586.14,461,99,0,461
2023-07-31 10:00:00,4586.14,4589.56,4585.15,4589.55,360,98,0,360
2023-07-31 11:00:00,4589.16,4592.06,4588.89,4592.05,268,98,0,268
2023-07-31 12:00:00,4591.87,4597.09,4590.37,4595.18,374,101,0,374
2023-07-31 13:00:00,4594.94,4596.81,4579.9,4584.47,1217,102,0,1217
2023-07-31 14:00:00,4584.66,4593.43,4581.35,4590.4,1192,107,0,1192
2023-07-31 15:00:00,4590.65,4593.39,4581.98,4584.49,890,108,0,890
2023-07-31 16:00:00,4584.66,4587.43,4580.3,4581.36,772,105,0,772
2023-07-31 17:00:00,4581.05,4586.83,4577.55,4583.95,743,105,0,743
2023-07-31 18:00:00,4584.19,4586.94,4579.98,4585.51,784,105,0,784
2023-07-31 19:00:00,4585.93,4593.72,4575.95,4593.13,1035,106,0,1035
2023-07-31 20:00:00,4593.21,4596.62,4592.38,4595.03,303,111,0,303
2023-07-31 22:00:00,4596.52,4596.76,4593.34,4593.55,236,105,0,236
2023-07-31 23:00:00,4593.54,4594.38,4592.8,4593.71,220,102,0,220
2023-08-01 00:00:00,4593.6,4596.98,4593.31,4596.98,487,98,0,487
2023-08-01 01:00:00,4596.86,4600.01,4595.82,4598.57,703,96,0,703
2023-08-01 02:00:00,4598.67,4598.82,4595.39,4597.46,492,96,0,492
2023-08-01 03:00:00,4597.54,4598.51,4596.32,4597.3,298,98,0,298
2023-08-01 04:00:00,4597.07,4598.57,4596.82,4597.34,286,95,0,286
2023-08-01 05:00:00,4597.33,4597.88,4594.83,4595.7,392,93,0,392
2023-08-01 06:00:00,4595.4,4595.58,4592.32,4592.81,390,94,0,390
2023-08-01 07:00:00,4592.96,4593.48,4587.51,4588.51,452,97,0,452
2023-08-01 08:00:00,4588.33,4588.78,4579.16,4583.07,639,99,0,639
