,time,open,high,low,close,tick_volume,spread,real_volume
1334,2022-10-16,1646.2,1647.693,1644.132,1647.508,4635,125,0
1335,2022-10-17,1647.493,1668.414,1646.399,1650.736,97286,125,0
1336,2022-10-18,1650.768,1660.89,1645.848,1652.343,104392,125,0
1337,2022-10-19,1652.341,1653.404,1626.501,1627.135,103929,125,0
1338,2022-10-20,1627.102,1645.607,1622.44,1627.018,107867,125,0
1339,2022-10-21,1627.017,1658.125,1617.021,1657.844,154326,125,0
1340,2022-10-23,1660.012,1670.844,1656.648,1661.289,20028,125,0
1341,2022-10-24,1661.257,1663.343,1643.941,1651.779,126304,125,0
1342,2022-10-25,1651.811,1662.318,1638.196,1652.792,107097,125,0
1343,2022-10-26,1652.803,1674.871,1649.77,1667.55,110046,125,0
1344,2022-10-27,1667.561,1670.791,1654.835,1661.9,122399,125,0
1345,2022-10-28,1661.899,1667.029,1637.909,1644.635,109841,125,0
1346,2022-10-30,1643.764,1645.411,1643.04,1643.484,4695,125,0
1347,2022-10-31,1643.451,1645.597,1631.714,1632.454,86308,125,0
1348,2022-11-01,1632.457,1657.007,1630.726,1646.809,109639,125,0
1349,2022-11-02,1646.842,1669.466,1631.837,1633.758,137083,125,0
1350,2022-11-03,1633.756,1640.948,1616.662,1629.775,115067,125,0
1351,2022-11-04,1629.808,1681.703,1629.353,1681.003,133186,125,0
1352,2022-11-06,1675.205,1680.347,1672.314,1672.698,5337,125,0
1353,2022-11-07,1672.736,1681.903,1666.889,1674.109,103112,125,0
1354,2022-11-08,1674.121,1716.938,1664.59,1711.624,118516,125,0
1355,2022-11-09,1711.62,1722.328,1702.161,1706.487,124413,125,0
1356,2022-11-10,1706.506,1757.234,1704.018,1752.234,145380,125,0
1357,2022-11-11,1752.229,1772.897,1747.268,1771.029,129635,125,0
1358,2022-11-13,1763.525,1764.928,1761.46,1763.476,4142,125,0
1359,2022-11-14,1763.484,1775.044,1753.176,1769.519,114629,125,0
1360,2022-11-15,1769.553,1786.509,1767.084,1780.783,154427,125,0
1361,2022-11-16,1780.811,1785.03,1770.309,1773.881,121910,125,0
1362,2022-11-17,1773.899,1774.799,1754.48,1760.095,111262,125,0
1363,2022-11-18,1760.063,1767.711,1747.524,1750.89,93369,125,0
1364,2022-11-20,1751.234,1752.633,1750.906,1752.299,2432,125,0
1365,2022-11-21,1752.293,1753.024,1732.51,1738.543,101151,125,0
1366,2022-11-22,1738.551,1749.671,1737.046,1741.176,89700,125,0
1367,2022-11-23,1741.178,1753.291,1726.537,1752.308,106091,125,0
1368,2022-11-24,1752.34,1758.603,1752.334,1755.307,62915,125,0
